Subject,Body,Sender,Priority
Security Breach Alert – Urgent Action Needed,Kindly expedite this request. Deadline: 2025-03-17.,Intern,Urgent
Weekly Progress Check-In – Action Required,Can you provide an update on this before 2025-03-24?,HR,Follow-up
Request for Feedback – Due Date: 2025-03-18,We need a quick update on this before 2025-03-18. Thanks!,Client,Follow-up
Request for Feedback – Due Date: 2025-03-10,Reminder: The submission is due by 2025-03-10. Let me know if you need help.,Manager,Follow-up
System Outage Alert – Immediate Fix Required,Kindly expedite this request. Deadline: 2025-03-24.,Intern,Urgent
Upcoming Event Notification – Save the Date,This is an informational email. No action required before 2025-03-19.,HR,Low
Security Breach Alert – Urgent Action Needed,This requires urgent attention. Due date: 2025-03-18.,Intern,Urgent
Reminder: Submission Due by 2025-03-07,Reminder: The submission is due by 2025-03-07. Let me know if you need help.,Intern,Follow-up
Security Breach Alert – Urgent Action Needed,The project must be completed by 2025-03-14. Please prioritize.,Client,Urgent
System Outage Alert – Immediate Fix Required,Immediate action needed! Due date: 2025-03-02. Let me know once done.,CEO,Urgent
Reminder: Submission Due by 2025-03-19,Can you provide an update on this before 2025-03-19?,HR,Follow-up
General Inquiry – No Immediate Action Needed,"Just sharing an update. No urgency, but please review before 2025-03-09.",Intern,Low
Optional Survey – Share Your Feedback,"Providing details about the next steps. Take your time, due by 2025-02-26.",Colleague,Low
Action Required: Immediate Response Needed,This requires urgent attention. Due date: 2025-02-27.,Colleague,Urgent
Project Deadline Update – Due Date: 2025-03-23,This requires urgent attention. Due date: 2025-03-23.,Colleague,Urgent
Request for Feedback – Due Date: 2025-02-28,We need a quick update on this before 2025-02-28. Thanks!,Colleague,Follow-up
Reminder: Submission Due by 2025-03-04,Can you provide an update on this before 2025-03-04?,HR,Follow-up
Upcoming Event Notification – Save the Date,"Providing details about the next steps. Take your time, due by 2025-03-18.",Team Lead,Low
Action Required: Immediate Response Needed,Kindly expedite this request. Deadline: 2025-03-15.,HR,Urgent
Optional Survey – Share Your Feedback,"Just sharing an update. No urgency, but please review before 2025-03-21.",Colleague,Low
General Inquiry – No Immediate Action Needed,"Providing details about the next steps. Take your time, due by 2025-02-28.",HR,Low
Project Deadline Update – Due Date: 2025-03-11,Kindly expedite this request. Deadline: 2025-03-11.,Team Lead,Urgent
